deal_id,views,likes,comments,avg_view_pct,conversions,revenue_usd,roi
D0066,48942,2806,190,0.255,32,1378.67,0.571
D0067,1187,46,4,0.514,2,58.08,0.116
D0068,27391,947,84,0.25,18,1665.91,2.117
D0069,4434,245,17,0.286,2,59.07,0.118
D0070,505497,21870,1982,0.496,1466,85281.25,2.618
D0071,134158,7987,674,0.284,200,7205.53,1.148
D0072,4038224,119937,10711,0.369,4534,661724.77,11.45
D0073,142742,5854,308,0.308,291,15856.84,2.255
D0074,39079,1740,78,0.338,49,1896.86,0.781
D0075,360719,9725,920,0.469,1467,188671.52,12.153
D0076,52988,3793,201,0.501,97,3607.47,3.566
D0077,190028,9894,452,0.591,645,17581.63,2.137
D0078,168893,13211,963,0.403,396,15479.41,2.219
D0079,279272,25209,1755,0.429,638,23579.74,1.83
D0080,9982,409,32,0.446,13,1072.88,1.998
D0081,75470,2365,139,0.495,141,5465.35,2.096
D0082,6978,541,38,0.522,22,746.26,1.493
D0083,12369,617,48,0.525,4,169.8,0.34
D0084,468106,14032,986,0.251,530,72978.58,1.862
D0085,647824,17728,1073,0.314,1457,199918.75,3.702
D0086,889849,31101,2044,0.528,1659,251115.92,12.169
D0087,42204,2725,96,0.586,167,9118.78,4.467
D0088,8704,466,34,0.466,7,244.54,0.489
D0089,7187,199,7,0.159,3,85.35,0.171
D0090,4485,201,12,0.505,5,301.53,0.603
D0091,443857,18205,1021,0.41,675,18289.03,1.015
D0092,281368,10558,502,0.605,183,26146.24,3.351
D0093,5907,140,5,0.273,8,1133.2,1.358
D0094,6180,249,23,0.569,15,601.02,1.202
D0095,2791924,197033,8048,0.938,4897,235417.5,5.583
D0096,2992,204,11,0.539,9,265.66,0.531
D0097,696317,16872,1390,0.454,1172,157827.5,2.469
D0098,41406,1726,144,0.445,58,5135.08,3.013
D0099,1779,97,3,0.311,2,76.56,0.153
D0100,375638,11679,531,0.314,618,30772.3,2.356
D0101,743780,21247,1700,0.47,913,116017.18,5.927
D0102,21215,1426,44,0.435,66,2585.2,4.782
D0103,276803,8159,280,0.292,462,41879.82,2.218
D0104,86614,3888,182,0.266,173,5711.84,2.296
D0105,148100,5467,300,0.562,484,27456.42,3.125
D0106,367997,19807,836,0.444,240,11970.18,2.27
D0107,962395,65395,6016,0.623,3310,116734.48,1.489
D0108,5674,339,28,0.492,4,177.58,0.355
D0109,220898,9639,537,0.59,674,55596.24,3.978
D0110,10242,315,11,0.373,22,1958.58,2.909
D0111,4103,164,12,0.335,6,297.86,0.596
D0112,764162,35035,1136,0.61,2489,116278.0,4.513
D0113,63120,3431,136,0.437,140,4816.92,0.962
D0114,185070,12893,1086,0.396,361,13286.79,0.982
D0115,286743,12375,961,0.437,569,15445.84,1.098
D0116,35572,1747,130,0.459,32,1064.76,2.13
D0117,319742,6651,456,0.579,956,128735.09,9.347
D0118,303297,14123,1058,0.248,377,17533.27,1.984
D0119,17273,952,39,0.469,28,1302.61,1.054
D0120,33302,1711,66,0.372,40,3601.85,4.667
D0121,3442,243,21,0.291,6,222.11,0.444
D0122,26381,1016,75,0.346,76,6816.67,4.273
D0123,20094,750,30,0.444,41,1260.05,1.4
D0124,722045,18029,695,0.357,1550,197496.27,6.272
D0125,124161,8137,352,0.342,258,7176.05,1.287
D0126,110366,5625,253,0.397,269,37621.54,5.056
D0127,12745,780,45,0.306,19,691.28,0.766
D0128,6832,285,10,0.539,12,508.31,1.017
D0129,9401,637,33,0.438,8,294.12,0.588
D0130,109680,5159,459,0.301,46,1843.57,1.091
D0131,1525334,101307,8689,0.4,1247,54189.4,2.427
D0132,459214,13732,1105,0.438,565,16837.74,1.284
D0133,829,33,2,0.305,1,41.89,0.084
D0134,458879,17365,1159,0.391,923,47955.75,3.206
D0135,473269,12499,543,0.266,363,48023.55,5.694
D0136,463377,30569,1663,0.615,491,22500.17,2.938
D0137,105992,6030,482,0.516,274,9383.51,1.75
D0138,13219,840,31,0.415,20,1001.17,1.373
D0139,175757,8287,808,0.361,327,16175.96,2.438
D0140,4356,213,7,0.287,4,200.57,0.401
D0141,1882221,117771,7617,0.418,5911,307903.88,6.34
D0142,5766,130,8,0.328,3,452.7,0.905
D0143,187851,4584,197,0.444,455,64563.53,4.382
D0144,16925,568,24,0.487,61,2085.34,3.148
D0145,14645,654,49,0.402,19,701.97,0.862
D0146,3823,175,9,0.618,15,690.49,1.381
D0147,215578,7841,493,0.496,267,12094.23,1.398
D0148,4994,273,18,0.56,19,684.75,1.157
D0149,340673,14414,1339,0.284,308,11413.11,1.338
D0150,11423,528,30,0.501,11,446.89,0.56
D0151,480350,27902,899,0.537,354,33553.85,4.638
D0152,850193,52366,4073,0.341,870,43042.32,0.81
D0153,2803,170,16,0.246,1,47.27,0.095
D0154,1918,94,8,0.423,2,82.56,0.165
D0155,9432,460,37,0.384,13,588.72,1.177
D0156,145168,7220,518,0.371,72,2765.82,0.847
D0157,29752,1875,138,0.239,17,744.23,1.041
D0158,421167,14267,1181,0.19,250,33605.15,4.583
D0159,892010,60163,2661,0.487,1579,60790.49,1.128
D0160,117881,1944,177,0.497,492,71970.03,11.145
D0161,27034,2228,216,0.447,109,5969.73,6.009
D0162,21908,2184,123,0.309,39,1337.05,1.675
D0163,343541,16920,946,0.195,217,18441.3,0.698
D0164,536852,37541,1526,0.364,756,29030.56,2.276
D0165,21520,1267,102,0.287,17,617.7,1.235
D0166,760660,42214,3240,0.431,998,51185.85,1.214
D0167,43605,1410,132,0.207,42,2324.88,0.889
D0168,4893,141,9,0.379,7,1066.18,1.928
D0169,17713,859,49,0.333,16,648.32,0.646
D0170,31322,1778,103,0.322,49,1409.52,0.402
D0171,12695,734,69,0.378,25,2336.53,4.334
D0172,1031385,82252,6256,0.52,3966,197000.1,3.282
D0173,4611,194,17,0.359,8,281.31,0.563
D0174,235303,5085,235,0.565,903,129298.97,4.298
D0175,657635,34310,1930,0.571,955,44740.51,3.334
D0176,791488,61986,5260,0.487,2957,103486.25,4.038
D0177,3949,130,8,0.541,5,679.55,1.359
D0178,8651,428,34,0.15,1,26.56,0.053
D0179,1301,81,4,0.47,2,91.23,0.182
D0180,782843,23717,722,0.237,1433,195800.7,2.66
D0181,6682,397,38,0.5,8,480.88,0.962
D0182,6257,453,38,0.236,13,439.9,0.88
D0183,32748,1771,154,0.598,131,4715.34,2.35
D0184,19402,731,44,0.291,9,434.97,0.87
D0185,306470,10144,480,0.39,620,88756.09,4.044
D0186,4133,161,13,0.249,1,37.77,0.076
D0187,557336,18661,1103,0.429,1565,238410.43,7.464
D0188,213127,10754,681,0.248,150,7951.2,3.197
D0189,4350,267,12,0.716,11,445.27,0.891
D0190,128504,7269,232,0.36,176,8603.79,1.239
D0191,3374,61,4,0.32,5,645.95,1.292
D0192,249727,14030,766,0.349,201,9982.96,1.641
D0193,786865,45520,2993,0.588,1746,81858.79,2.121
D0194,19421,621,55,0.244,15,2289.77,1.567
D0195,115155,4646,412,0.306,108,3914.66,0.853
D0196,9929,600,41,0.44,17,613.32,1.138
D0197,1664508,23801,884,0.316,1580,83384.18,3.686
D0198,8776,289,11,0.451,7,403.3,0.807
D0199,83330,4443,298,0.273,76,2331.86,0.584
D0200,17019,932,90,0.48,8,316.37,0.606
D0201,5950,406,16,0.32,8,280.81,0.562
D0202,46790,1731,96,0.522,98,4235.93,2.031
D0203,752626,18714,1124,0.402,1828,272725.94,3.689
D0204,14125,1010,84,0.581,56,2151.76,3.712
D0205,2292,177,16,0.413,3,154.85,0.31
D0206,31970,1800,60,0.284,14,1324.32,1.901
D0207,18728,532,32,0.339,39,3243.66,2.039
D0208,7613,462,17,0.324,23,767.91,1.536
D0209,37469,893,66,0.491,105,9802.61,7.085
D0210,16714,768,74,0.394,36,3095.48,1.89
D0211,21559,1179,50,0.578,18,913.04,1.826
D0212,13834,509,46,0.533,43,5799.03,3.85
D0213,90909,4787,340,0.416,180,5465.96,1.885
D0214,1239011,60369,3511,0.325,567,14773.19,0.575
D0215,34434,1398,116,0.561,57,1535.41,0.411
D0216,750047,15972,1163,0.587,2897,418400.58,5.959
D0217,2416,99,8,0.539,5,251.99,0.504
D0218,1480344,55099,2667,0.587,4643,649519.17,4.98
D0219,1235904,66578,5139,0.168,1250,54030.82,0.555
D0220,11665,742,72,0.631,36,1801.97,1.489
D0221,394665,23939,1559,0.474,474,24136.86,2.609
D0222,931193,25398,915,0.309,1773,237873.95,2.115
D0223,34439,2202,150,0.228,50,1955.66,1.533
D0224,998255,43079,1296,0.292,328,16459.45,1.108
D0225,33383,1690,159,0.369,76,4347.91,5.579
D0226,6995,257,9,0.303,6,262.28,0.525
D0227,41157,2156,99,0.537,78,2959.71,5.919
D0228,110159,4724,260,0.437,114,4526.57,0.422
D0229,13986,588,23,0.651,35,3084.63,5.788
D0230,20707,450,40,0.278,15,496.23,0.992
D0231,782074,61813,3465,0.584,1983,72563.39,2.608
D0232,2017378,74377,6444,0.615,7193,366593.53,3.498
D0233,1198,51,3,0.438,2,74.99,0.15
D0234,2743,164,10,0.522,5,252.32,0.505
D0235,41145,2430,76,0.414,38,1513.82,0.489
D0236,135206,8900,285,0.456,115,6715.45,3.753
D0237,392368,17485,1523,0.341,320,16884.92,1.258
D0238,93172,5354,249,0.339,281,9830.29,1.652
D0239,717007,54313,3500,0.401,552,24324.69,1.27
D0240,12871,784,34,0.55,37,1122.77,2.246
D0241,3590,221,21,0.224,1,27.42,0.055
D0242,10024,428,36,0.588,15,1963.17,3.926
D0243,21625,1270,53,0.32,31,1132.26,2.169
D0244,34732,2093,83,0.417,34,1342.09,2.624
D0245,47529,2782,218,0.426,61,3057.07,1.047
D0246,10056,613,56,0.351,15,639.46,1.279
D0247,1993,98,5,0.476,4,175.68,0.351
D0248,1704,46,4,0.451,4,527.02,1.054
D0249,689236,17658,719,0.32,309,11852.13,0.943
D0250,145521,8400,530,0.577,448,12471.11,1.7
D0251,4571,218,10,0.456,12,1004.64,2.009
D0252,12822,353,12,0.309,11,1082.19,2.164
D0253,96938,7663,507,0.454,62,2074.62,0.658
D0254,25697,1064,105,0.15,33,1218.23,1.081
D0255,3112,154,14,0.551,9,497.23,0.994
D0256,1215,40,3,0.557,2,88.34,0.177
D0257,130244,5304,308,0.432,74,2031.27,0.883
D0258,2068272,58507,5428,0.64,3428,296367.7,10.29
D0259,2689,112,9,0.608,5,142.94,0.286
D0260,111418,7297,482,0.391,185,5481.98,0.938
D0261,24652,1461,64,0.637,66,1681.89,1.473
D0262,471479,24115,2281,0.383,633,30315.86,1.511
D0263,17711,1035,37,0.646,77,2968.16,3.837
D0264,470221,14299,942,0.627,692,100410.3,4.893
D0265,490728,13126,1048,0.239,484,25069.57,0.897
D0266,17174,622,35,0.535,19,784.68,1.569
D0267,19963,1153,56,0.525,18,667.63,1.335
D0268,228875,5022,382,0.339,154,6351.45,0.675
D0269,439860,18032,1458,0.386,715,21160.73,1.424
D0270,986540,61776,2275,0.484,1103,32788.58,1.1
D0271,7290,369,19,0.618,13,500.87,1.002
D0272,4979,288,16,0.408,8,239.87,0.48
D0273,468212,29430,1254,0.607,695,21354.0,3.111
D0274,39339,2181,153,0.535,133,6741.19,3.581
D0275,140239,11011,893,0.424,586,22179.69,3.002
D0276,73940,2971,271,0.399,131,3670.45,0.725
D0277,4050,164,15,0.358,8,414.83,0.83
D0278,7142,319,14,0.411,8,334.98,0.67
D0279,6625,240,17,0.261,7,309.67,0.619
D0280,2021,92,7,0.47,5,126.26,0.253
D0281,53025,1272,83,0.545,83,3509.08,1.497
D0282,161000,6666,391,0.501,421,12755.46,1.491
D0283,1757,38,3,0.357,3,438.78,0.878
D0284,48500,1664,61,0.436,110,9485.32,4.018
D0285,309229,14486,767,0.552,1312,112608.39,2.231
D0286,844913,26057,2306,0.37,468,22112.39,1.345
D0287,5508,395,25,0.58,9,441.62,0.883
D0288,710541,37828,2414,0.17,778,27675.76,0.872
D0289,1632877,55971,5510,0.348,977,27482.4,1.084
D0290,234030,7123,632,0.15,115,9427.95,0.664
D0291,587558,29271,981,0.737,1840,50523.37,2.126
D0292,13575,698,42,0.523,42,3895.95,5.986
D0293,306958,6671,342,0.318,444,64291.77,2.599
D0294,2042280,101203,7286,0.396,2566,121998.7,1.178
D0295,6486,268,21,0.561,15,556.85,1.114
D0296,33794,1585,71,0.455,22,851.48,1.703
D0297,2624,120,9,0.417,2,81.36,0.163
D0298,373186,17028,972,0.22,228,10953.0,0.644
D0299,473868,22305,1609,0.358,759,32443.15,1.541
D0300,220226,8498,379,0.379,91,2762.64,0.729
D0301,736370,37618,2663,0.266,1242,61693.54,2.343
D0302,4717,243,18,0.482,20,671.17,1.342
D0303,12916,776,67,0.389,22,829.94,1.66
D0304,21861,1707,134,0.533,77,2725.74,2.422
D0305,16601,1168,53,0.32,22,771.05,0.94
D0306,43809,1858,144,0.449,141,5090.06,2.911
D0307,1712,76,6,0.527,3,115.74,0.231
D0308,518660,29028,2308,0.15,150,7229.67,0.511
D0309,1768,92,5,0.525,4,193.17,0.386
D0310,4943,313,22,0.2,1,41.46,0.083
D0311,7221,186,12,0.398,6,230.23,0.275
D0312,2682,137,4,0.584,8,464.08,0.928
D0313,4974,252,24,0.249,4,111.09,0.222
D0314,1450,55,3,0.433,2,78.21,0.156
D0315,271804,10155,834,0.377,386,33751.3,3.873
D0316,50781,2598,157,0.281,31,1233.55,2.467
D0317,397719,22572,1747,0.403,1028,51607.16,4.098
D0318,1807,41,2,0.491,5,733.8,1.468
D0319,16202,723,27,0.359,22,1102.16,1.225
D0320,13693,440,31,0.528,23,951.52,1.197
D0321,20551,764,60,0.575,25,1061.54,2.123
D0322,5102,322,19,0.455,8,401.89,0.804
D0323,7483,315,15,0.381,12,450.86,0.902
D0324,3087275,49357,3480,0.43,6029,765842.02,3.188
D0325,96471,3057,153,0.227,81,11105.91,1.398
D0326,3451,110,4,0.278,4,601.69,1.203
D0327,9687,571,43,0.507,14,492.72,0.917
D0328,2061713,74456,4951,0.529,2641,226438.52,1.601
D0329,127877,8855,498,0.296,303,10587.08,2.255
D0330,12717,318,14,0.323,22,2864.55,2.745
D0331,1353272,48482,2169,0.436,3376,146570.67,2.317
D0332,92327,5823,197,0.416,160,6986.55,2.478
D0333,1083097,33964,1995,0.43,1406,133309.64,5.042
D0334,1167164,70489,2454,0.374,1919,48536.79,1.306
D0335,96781,2717,182,0.276,105,3033.72,0.982
D0336,4435,177,5,0.335,5,212.09,0.424
D0337,56090,3293,300,0.344,78,4469.45,0.958
D0338,59565,3887,202,0.375,155,5749.16,1.44
D0339,377266,18254,1549,0.296,315,8916.86,0.553
D0340,70094,3453,132,0.447,94,2868.48,4.739
D0341,32237,2070,154,0.458,84,4593.82,4.363
D0342,6264,133,7,0.585,17,1536.43,2.165
D0343,460377,29325,1279,0.359,782,39025.8,3.408
D0344,5577,236,23,0.441,10,352.45,0.705
D0345,506747,24126,1708,0.268,408,18511.95,0.665
D0346,2513,155,10,0.311,2,73.87,0.148
D0347,1367259,66260,5585,0.529,1050,31528.7,1.836
D0348,2842,73,5,0.458,2,93.18,0.186
D0349,6065,150,6,0.548,8,1136.51,2.273
D0350,28932,2016,97,0.45,125,4802.7,3.383
D0351,308746,9435,640,0.286,414,16959.65,0.879
D0352,28924,1181,68,0.42,24,2171.12,2.993
D0353,3620,158,10,0.436,6,298.03,0.596
D0354,3022,186,9,0.383,12,418.44,0.837
D0355,21606,504,35,0.497,89,13242.96,6.597
D0356,735221,41933,4073,0.548,3569,120173.84,2.541
D0357,103051,3211,109,0.53,108,4432.2,2.514
D0358,54063,2394,115,0.481,81,3130.25,3.929
D0359,109096,6255,354,0.169,102,3411.18,0.897
D0360,69956,4701,164,0.465,84,3884.33,3.923
D0361,1099941,63499,4513,0.333,1049,47168.61,2.564
D0362,89480,3802,170,0.377,128,5567.28,2.319
D0363,18332,1402,50,0.521,74,2519.8,2.619
D0364,1408,65,3,0.627,2,109.28,0.219
D0365,111679,5775,428,0.565,82,3295.39,1.471
D0366,45145,1640,91,0.414,46,1159.22,1.24
D0367,173855,9106,761,0.319,150,8739.67,2.64
D0368,1178680,39965,3199,0.283,811,36752.64,0.646
D0369,501571,17502,1435,0.33,890,85762.78,3.556
D0370,118390,4045,297,0.429,94,3421.32,1.282
D0371,188382,12529,388,0.423,522,19865.87,2.708
D0372,1524780,95719,9247,0.615,4864,213458.07,5.341
D0373,21372,1309,109,0.33,23,750.75,0.497
D0374,36640,2513,244,0.485,101,3801.97,1.474
D0375,256099,17298,1697,0.477,552,23926.25,1.368
D0376,2954,224,19,0.26,5,175.37,0.351
D0377,11540,779,26,0.417,15,761.97,1.524
D0378,114164,2375,205,0.347,243,35307.66,8.138
D0379,2072517,55515,2402,0.598,7851,1150228.56,9.566
D0380,131615,7663,520,0.221,132,3700.4,0.91
D0381,1276606,45290,3067,0.247,1101,99041.43,0.644
D0382,214307,11552,879,0.692,311,11640.45,3.037
D0383,114305,4269,314,0.51,212,5604.44,1.018
D0384,2645,75,6,0.562,9,1370.44,2.741
D0385,3096,132,4,0.194,1,36.81,0.074
D0386,59430,2310,222,0.277,81,11898.17,2.642
D0387,5164,343,18,0.53,26,925.33,1.851
D0388,55275,3682,307,0.245,39,3586.11,2.463
D0389,28317,1122,90,0.459,88,4857.05,4.844
D0390,5508,159,15,0.538,3,420.95,0.842
D0391,21341,808,70,0.377,35,1517.01,1.125
D0392,1825568,62319,4383,0.555,2256,303231.24,6.869
D0393,15063,767,35,0.241,13,1055.68,0.913
D0394,1326,45,2,0.427,1,29.3,0.059
D0395,1701,75,6,0.537,3,161.65,0.323
D0396,324480,15280,1069,0.15,131,6318.49,0.512
D0397,86992,3963,215,0.309,53,2637.61,0.989
D0398,9219,600,36,0.498,9,448.02,0.896
D0399,9381,541,27,0.602,13,499.73,0.987
D0400,509124,42039,3469,0.26,356,14077.87,1.507
D0401,12462,526,39,0.393,22,839.75,1.376
D0402,83393,4054,399,0.232,74,2239.36,0.321
D0403,74853,3533,334,0.387,101,2966.23,0.477
D0404,358092,23703,1542,0.484,256,15146.36,5.015
D0405,9744,706,68,0.482,9,306.34,0.613
D0406,127923,5929,402,0.438,399,14482.8,1.928
D0407,219645,5320,446,0.532,363,9468.88,1.683
D0408,8554,375,31,0.511,21,742.58,1.104
D0409,46559,2868,139,0.255,29,988.08,0.973
D0410,271849,13089,822,0.375,417,22418.78,2.523
D0411,65705,4572,208,0.287,60,2258.19,1.115
D0412,42834,1641,77,0.391,61,2554.84,1.28
D0413,3008719,44751,3807,0.381,2209,329486.23,4.356
D0414,646330,23689,1353,0.449,329,27773.29,0.442
D0415,1538799,59277,2368,0.469,2390,349499.52,14.005
D0416,15216,693,49,0.401,30,1070.21,1.224
D0417,6949,335,26,0.382,11,618.56,1.237
D0418,11999,176,13,0.562,35,1310.08,2.038
D0419,1484772,81887,7961,0.653,2577,93023.68,3.372
D0420,469262,14210,642,0.349,676,93539.82,2.525
D0421,22669,1171,63,0.457,23,1121.24,1.909
D0422,2699,85,4,0.321,3,426.07,0.852
D0423,14518,807,45,0.53,61,2218.17,2.229
D0424,3772,209,13,0.365,3,132.75,0.266
D0425,17949,627,32,0.58,4,349.48,0.494
D0426,242349,12660,1162,0.431,802,27102.47,2.62
D0427,172273,8333,276,0.338,244,8278.64,0.631
D0428,26901,2206,116,0.602,50,1742.89,3.486
D0429,2714,180,13,0.312,1,30.2,0.06
D0430,69538,2750,243,0.361,88,7627.76,5.929
D0431,371883,13378,663,0.672,2838,104753.07,6.811
D0432,75258,5145,408,0.408,202,7146.73,1.683
D0433,970203,35415,3008,0.475,2487,221312.99,3.917
D0434,484562,13242,1207,0.38,1415,53685.48,2.194
D0435,3519,154,14,0.418,4,146.79,0.294
D0436,1004753,26349,1855,0.324,2498,216766.06,2.009
D0437,8161,547,16,0.497,9,304.99,0.61
D0438,7024,333,15,0.569,14,487.74,0.975
D0439,1512,90,3,0.462,1,29.88,0.06
D0440,522924,25404,2201,0.659,1402,53141.24,9.725
D0441,8788,274,12,0.439,23,2240.92,4.409
D0442,46812,2063,112,0.349,52,1972.32,3.546
D0443,887837,31458,2116,0.248,652,18697.34,0.245
D0444,1453,83,4,0.574,3,139.46,0.279
D0445,52633,2421,166,0.347,121,4753.17,1.613
D0446,18133,748,48,0.392,25,744.38,0.684
D0447,4313,165,12,0.383,4,173.22,0.346
D0448,891162,57787,1766,0.542,2069,91914.36,2.06
D0449,5390,289,14,0.412,5,142.52,0.285
D0450,382168,20097,1270,0.465,995,51814.65,3.109
D0451,229824,13663,1039,0.616,289,10721.25,4.975
D0452,73475,3452,226,0.296,77,2093.61,0.609
D0453,384496,13603,956,0.692,1392,124860.77,3.648
D0454,1216,61,5,0.42,1,48.16,0.096
D0455,1532921,76455,6564,0.5,3569,311159.09,2.952
D0456,2466,132,7,0.519,5,224.04,0.448
D0457,3013929,79993,6528,0.337,3893,504342.03,6.969
D0458,756889,23822,738,0.477,1156,164810.42,12.459
D0459,38276,954,86,0.44,55,2043.83,1.911
D0460,2616,136,10,0.468,7,189.93,0.38
D0461,3583,159,10,0.22,1,39.8,0.08
D0462,112235,7115,370,0.15,63,2780.49,0.414
D0463,43839,2066,98,0.634,43,2136.36,2.135
D0464,921550,23768,1624,0.314,825,104226.31,1.41
D0465,308837,15737,573,0.445,850,43537.35,2.685
D0466,1112222,47950,4459,0.15,501,25952.61,0.467
D0467,1243229,85216,6685,0.414,759,20220.58,1.072
D0468,584825,19083,1658,0.44,1372,82695.44,1.442
D0469,167292,6893,258,0.489,394,12864.49,1.591
D0470,83679,5369,161,0.536,147,4923.26,3.414
D0471,8542,242,19,0.437,18,1531.17,2.88
D0472,7578,414,32,0.282,16,628.86,1.178
D0473,1954604,106749,10432,0.566,2106,98866.18,2.165
D0474,30554,1255,49,0.487,47,2297.94,4.596
D0475,22862,1282,39,0.15,10,417.68,0.342
D0476,3463,206,18,0.514,10,520.78,1.042
D0477,45083,3713,145,0.473,137,4741.96,3.26
D0478,3064,147,10,0.388,3,112.86,0.226
D0479,645985,27864,1251,0.699,3275,107600.77,4.078
D0480,106729,5012,475,0.473,183,7828.54,1.27
D0481,311624,21037,1505,0.336,415,21084.29,1.244
D0482,6407,528,24,0.504,28,1027.41,2.055
D0483,359045,18255,1808,0.392,1224,47260.68,1.842
D0484,692056,31542,1373,0.473,730,22355.53,0.63
D0485,54573,1541,82,0.545,199,25315.37,10.282
D0486,56921,1546,143,0.391,47,1814.57,0.505
D0487,42236,2435,137,0.178,24,861.31,0.768
D0488,106587,6126,492,0.199,29,1090.91,0.192
D0489,1582,78,7,0.517,1,41.1,0.082
D0490,113171,4973,224,0.288,211,6858.43,1.779
D0491,30625,1618,113,0.383,132,4314.87,4.117
D0492,2278932,69894,6115,0.335,4652,658898.28,3.907
D0493,4734,352,18,0.494,11,415.59,0.831
D0494,10780,255,14,0.254,10,428.83,0.858
D0495,8770,511,43,0.37,5,215.23,0.43
D0496,663822,28681,1594,0.489,862,22045.85,2.184
D0497,156119,7076,560,0.177,49,1889.62,0.772
D0498,203702,5643,367,0.485,275,7749.13,0.797
D0499,68109,3143,108,0.154,31,2555.74,1.986
D0500,5264,260,10,0.504,27,879.21,1.758
D0501,6304,369,33,0.462,19,703.79,1.408
D0502,6171,593,46,0.491,6,207.54,0.415
D0503,47251,1589,64,0.645,61,5620.26,4.715
D0504,1571348,126557,9699,0.47,1920,83702.5,2.768
D0505,74960,5456,295,0.443,151,5069.18,1.865
D0506,6041,369,35,0.597,26,1259.52,2.519
D0507,15885,653,56,0.413,17,2303.21,4.606
D0508,496319,6551,380,0.49,1009,129746.78,3.2
D0509,10537,523,46,0.467,12,367.98,0.736
D0510,83348,1745,133,0.268,113,3118.21,0.67
D0511,1300469,54514,5023,0.389,2189,103863.76,1.692
D0512,1659289,73795,2658,0.456,6191,239258.54,4.57
D0513,23413,1371,95,0.539,71,4164.51,2.85
D0514,8052,442,28,0.415,16,609.55,1.219
D0515,1687850,97456,6279,0.342,1045,27032.46,1.033
D0516,72025,1786,162,0.325,100,14543.89,2.228
D0517,651214,35730,1480,0.375,1026,53307.07,1.289
D0518,5301,320,26,0.442,5,147.07,0.294
D0519,12051,500,27,0.533,17,894.13,1.788
